Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-8-18/21:22,2023-8-18/22:32,20000000,40000,T,F,,
2023-8-18/22:42,2023-8-18/23:12,20000000,1100000,F,,,
2023-8-19/00:03,2023-8-19/01:00,20000000,40000,T,T,Loop,
2023-8-19/05:14,2023-8-19/05:34,9000000,200000,F,,,
2023-8-19/06:42,2023-8-19/07:52,20000000,60000,T,F,Loop & Spot,Very obvious on the GOES
2023-8-19/09:30,2023-8-19/09:55,20000000,170000,F,,,
2023-8-19/13:06,2023-8-19/14:20,20000000,60000,F,,,
2023-8-19/19:30,2023-8-19/19:47,20000000,170000,F,,,
2023-8-19/20:22,2023-8-19/20:41,13000000,300000,F,,,
2023-8-20/07:27,2023-8-20/08:48,4000000,90000,T,T,Loop & Spot,
2023-8-20/12:25,2023-8-20/13:30,9000000,80000,T,T,Spot,
2023-8-20/15:12,2023-8-20/15:55,3000000,80000,F,,,
2023-8-20/16:31,2023-8-20/17:07,3000000,80000,F,,,
2023-8-20/17:47,2023-8-20/18:03,20000000,200000,F,,,
2023-8-20/19:26,2023-8-20/20:00,19000000,200000,T,,,
2023-8-20/20:46,2023-8-20/21:45,3000000,60000,F,T,Spot,
2023-8-22/10:20,2023-8-22/11:33,20000000,50000,T,T,Spot,2 spots
2023-8-22/13:23,2023-8-22/14:02,20000000,80000,F,,,
2023-8-23/02:16,2023-8-23/02:49,20000000,80000,T,,,
2023-8-23/04:29,2023-8-23/04:48,20000000,300000,F,,,
2023-8-23/05:27,2023-8-23/06:07,20000000,70000,T,,,
2023-8-23/06:46,2023-8-23/07:34,12000000,70000,F,,Very obvious on the level 3 graph,
2023-8-23/20:28,2023-8-23/20:35,5000000,300000,T,T,Spot,
2023-8-23/21:07,2023-8-23/22:08,7000000,80000,T,T,Spot,
2023-8-23/23:28,2023-8-24/01:30,20000000,30000,T,T,Loop,
2023-8-24/06:11,2023-8-24/07:20,20000000,70000,T,T,Spot,
2023-8-24/17:59,2023-8-24/19:21,14000000,40000,T,T,Spot,
2023-8-24/18:28,2023-8-24/18:58,20000000,150000,T,T,Spot,
2023-8-24/21:50,2023-8-24/23:46,7000000,40000,T,T,Loop,
2023-8-25/03:22,2023-8-25/04:15,20000000,60000,T,T,Loop,
2023-8-26/12:45,2023-8-26/15:00,10000000,40000,T,T,Loop,
2023-8-27/02:53,2023-8-27/03:43,5000000,100000,T,T,Spot,
2023-8-29/00:07,2023-8-29/00:34,5000000,110000,T,T,Loop,
2023-8-29/17:14,2023-8-29/17:54,20000000,140000,F,,,
2023-8-30/00:46,2023-8-30/00:54,20000000,300000,T,T,Loop & Spot,
2023-8-30/12:43,2023-8-30/12:57,20000000,400000,F,,,
2023-8-30/20:33,2023-8-30/21:35,20000000,90000,F,,,
2023-8-30/23:38,2023-8-30/23:53,20000000,300000,T,T,Loop,
2023-9-1/03:08,2023-9-1/05:51,5000000,40000,T,T,Loop,
2023-9-1/05:43,2023-9-1/06:48,20000000,110000,F,,,
2023-9-1/22:16,2023-9-1/23:30,20000000,80000,T,T,Spot,
2023-9-2/06:52,2023-9-2/08:30,15000000,70000,T,T,Spot,
2023-9-3/00:14,2023-9-3/01:30,20000000,80000,T,T,Spot,
2023-9-3/03:14,2023-9-3/03:52,20000000,180000,T,F,,
2023-9-3/04:05,2023-9-3/04:30,20000000,200000,T,T,Loop,
2023-9-3/18:39,2023-9-3/19:10,13000000,200000,T,F,,
2023-9-4/06:53,2023-9-4/07:22,10000000,150000,T,T,Loop,
2023-9-4/13:34,2023-9-4/14:05,13000000,200000,T,T,Spot,
2023-9-5/22:15,2023-9-6/00:08,20000000,60000,T,T,Spot,
2023-9-7/05:02,2023-9-7/06:06,7000000,70000,T,F,,
2023-9-7/18:27,2023-9-7/21:00,5000000,50000,T,T,Loop & Spot,
2023-9-8/01:28,2023-9-8/03:08,7000000,50000,T,T,Loop,
2023-9-8/08:39,2023-9-8/09:25,20000000,130000,T,T,Loop & Spot,
2023-9-8/09:38,2023-9-8/10:27,20000000,60000,T,T,Loop & Spot,
2023-9-8/11:08,2023-9-8/12:57,20000000,80000,T,T,Loop & Spot,
2023-9-8/15:03,2023-9-8/15:31,20000000,100000,T,T,Spot,
2023-9-8/19:16,2023-9-8/20:10,20000000,100000,T,T,Loop,
2023-9-9/04:54,2023-9-9/05:54,20000000,80000,T,T,Spot,
2023-9-9/11:46,2023-9-9/12:36,20000000,80000,F,,,
2023-9-10/04:14,2023-9-10/05:00,10000000,180000,F,,,
2023-9-11/05:53,2023-9-11/07:30,8000000,80000,F,,,
2023-9-11/17:20,2023-9-11/17:34,20000000,500000,F,,,
2023-9-11/21:17,2023-9-11/21:25,20000000,700000,F,,,
2023-9-11/22:17,2023-9-11/23:20,4000000,100000,T,F,,
2023-9-12/19:47,2023-9-12/20:10,20000000,200000,T,T,Spot,
2023-9-13/04:41,2023-9-13/05:57,20000000,60000,F,,,
2023-9-13/09:39,2023-9-13/10:17,16000000,170000,T,T,Loop,
2023-9-13/17:22,2023-9-13/17:42,20000000,300000,F,,,
2023-9-17/03:40,2023-9-17/04:00,20000000,300000,F,,,
2023-9-17/19:52,2023-9-17/20:22,20000000,200000,F,,,
2023-9-18/02:09,2023-9-18/03:27,20000000,120000,T,T,Loop,
2023-9-18/06:30,2023-9-18/07:13,20000000,150000,F,,,
2023-9-18/20:00,2023-9-18/20:18,20000000,300000,F,,,
2023-9-19/03:45,2023-9-19/04:35,20000000,100000,T,T,Spot,
2023-9-19/06:00,2023-9-19/07:21,7000000,90000,F,,,
2023-9-19/06:47,2023-9-19/07:53,13000000,160000,F,,,
2023-9-19/09:25,2023-9-19/10:27,20000000,90000,T,T,Spot,
2023-9-19/13:05,2023-9-19/13:24,20000000,300000,T,T,Loop,
2023-9-19/17:14,2023-9-19/17:33,20000000,300000,T,F,,Very obvious on the GOES
2023-9-19/20:00,2023-9-19/21:27,20000000,100000,T,T,Loop & Spot,Very obvious on the GOES
2023-9-19/22:20,2023-9-19/22:25,20000000,100000,F,,,
2023-9-20/14:10,2023-9-20/15:30,20000000,90000,T,T,Spot,Very obvious on the graph and on the GOES
2023-9-21/12:45,2023-9-21/15:00,20000000,120000,T,T,Spot,Very obvious on the graph and on the GOES
2023-9-21/23:04,2023-9-22/00:42,20000000,100000,T,T,Spot,
2023-9-22/08:34,2023-9-22/09:10,20000000,150000,T,T,Loop,
2023-9-22/11:23,2023-9-22/12:14,20000000,100000,T,T,Loop,
2023-9-22/16:18,2023-9-22/17:18,20000000,100000,T,T,Spot,
2023-9-22/17:07,2023-9-22/18:07,20000000,100000,T,T,Spot,
2023-9-23/14:38,2023-9-23/15:56,20000000,90000,F,,,
2023-9-23/20:40,2023-9-23/21:34,20000000,140000,T,T,Spot,
2023-9-24/05:41,2023-9-24/06:16,20000000,150000,T,T,Loop,"The frequency of the background for this day is very high, as the background of the graph is all blue."
2023-9-24/07:56,2023-9-24/08:40,20000000,140000,T,F,,
2023-9-24/10:22,2023-9-24/10:57,20000000,170000,T,F,,
2023-9-24/14:50,2023-9-24/15:46,20000000,130000,T,T,Spot,
2023-9-25/16:05,2023-9-25/16:25,20000000,180000,F,,,
2023-9-25/18:06,2023-9-25/18:26,20000000,200000,T,T,Spot,
2023-9-25/19:14,2023-9-25/19:53,20000000,170000,T,T,Spot,
2023-9-29/05:17,2023-9-29/05:36,8000000,700000,T,T,Loop,On the very side of the Sun of the SDO flare image.
2023-9-29/11:37,2023-9-29/11:58,8000000,300000,T,T,Spot,
2023-9-29/21:18,2023-9-29/21:43,20000000,200000,F,,,
2023-9-30/04:02,2023-9-30/04:40,20000000,180000,T,,,
2023-9-30/14:46,2023-9-30/15:11,20000000,200000,T,T,Loop & Spot,
2023-9-30/15:04,2023-9-30/15:15,20000000,300000,F,,,
2023-9-30/15:23,2023-9-30/15:44,20000000,200000,F,,,
2023-9-30/15:36,2023-9-30/16:00,20000000,200000,T,T,Spot,
2023-9-30/15:50,2023-9-30/16:30,20000000,200000,F,,,
2023-9-30/16:20,2023-9-30/17:26,20000000,200000,T,T,Spot,
2023-9-30/23:09,2023-9-30/23:25,20000000,300000,F,,,
