Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-1-19/02:24,2023-1-19/02:40,20000000,400000,F,,,
2023-1-21/06:54,2023-1-21/07:05,10000000,600000,F,,,
2023-1-21/07:18,2023-1-21/07:25,8000000,1000000,F,,,
2023-1-22/03:44,2023-1-22/04:00,20000000,400000,F,,,
2023-1-23/01:36,2023-1-23/02:10,6000000,200000,F,,,
2023-1-23/03:15,2023-1-23/03:50,6000000,200000,F,,,
2023-1-23/14:46,2023-1-23/15:26,6000000,200000,T,T,Loop,
2023-1-26/01:35,2023-1-26/02:15,20000000,70000,F,,,
2023-1-27/01:40,2023-1-27/01:50,10000000,700000,F,,,
2023-2-1/06:15,2023-2-1/07:00,9000000,100000,F,,,
2023-2-1/13:15,2023-2-1/13:50,20000000,100000,F,,,
2023-2-2/06:00,2023-2-2/7:00,9000000,40000,F,,,
2023-2-2/06:30,2023-2-2/07:15,9000000,40000,F,,,
2023-2-2/07:00,2023-2-2/07:20,10000000,400000,F,,,
2023-2-3/07:12,2023-2-3/07:25,10000000,500000,T,,,
2023-2-3/07:24,2023-2-3/07:35,10000000,700000,F,,,
2023-2-3/07:28,2023-2-3/07:35,10000000,700000,F,,,
2023-2-3/23:45,2023-2-4/01:00,20000000,50000,F,,,
2023-2-4/00:15,2023-2-4/00:25,20000000,300000,F,,,
2023-2-4/06:13,2023-2-4/06:30,20000000,400000,F,,,
2023-2-4/06:23,2023-2-4/06:38,20000000,500000,F,,,
2023-2-4/06:31,2023-2-4/06:50,20000000,300000,F,,,
2023-2-4/06:42,2023-2-4/06:55,20000000,400000,F,,,
2023-2-4/07:17,2023-2-4/08:00,20000000,40000,F,,,
2023-2-5/02:50,2023-2-5/03:20,8000000,100000,T,T,Loop,
2023-2-5/03:05,2023-2-5/03:30,10000000,200000,F,,,
2023-2-5/03:22,2023-2-5/04:00,10000000,100000,T,T,Spot,
2023-2-5/03:39,2023-2-5/03:50,20000000,400000,F,,,
2023-3-11/03:14,2023-3-11/04:23,13000000,80000,F,,,
2023-3-11/14:19,2023-3-11/15:16,20000000,60000,F,,,
2023-3-13/03:12,2023-3-13/05:26,20000000,40000,F,,,
2023-3-15/07:21,2023-3-15/07:51,20000000,1000000,F,,,
2023-3-15/14:15,2023-3-15/14:37,20000000,1000000,F,,,
2023-3-15/16:56,2023-3-15/17:28,20000000,2000000,F,,,
2023-3-15/19:54,2023-3-15/20:15,20000000,2000000,F,,,
2023-3-17/06:39,2023-3-17/07:10,20000000,1000000,T,F,,
2023-3-18/00:26,2023-3-18/00:37,20000000,300000,T,T,Loop & Spot,
2023-3-18/07:05,2023-3-18/07:26,20000000,300000,T,T,Spot,
2023-3-20/01:05,2023-3-20/01:27,8000000,200000,F,,,
2023-3-20/13:51,2023-3-20/14:09,20000000,300000,T,T,Loop,
2023-3-21/08:09,2023-3-21/08:47,7000000,1000000,T,T,Loop,
2023-3-21/10:16,2023-3-21/10:45,20000000,400000,T,T,Spot,
2023-3-21/11:31,2023-3-21/12:58,20000000,1000000,F,,,
2023-3-21/14:14,2023-3-21/15:28,20000000,1000000,T,T,Spot,
2023-3-21/22:38,2023-3-21/22:56,20000000,2000000,F,,,
2023-3-22/05:18,2023-3-22/07:36,20000000,1000000,F,,,
2023-3-23/01:59,2023-3-23/02:32,10000000,2000000,F,,,
2023-3-23/17:19,2023-3-23/17:47,6000000,1000000,F,,,
2023-3-23/19:18,2023-3-23/19:41,7000000,2000000,F,,,
2023-3-24/10:52,2023-3-24/12:09,6000000,90000,T,F,,
2023-3-24/14:32,2023-3-24/15:00,6000000,1000000,F,,,
2023-3-27/21:03,2023-3-27/21:14,20000000,2000000,T,T,Spot,
2023-3-27/22:24,2023-3-27/22:35,20000000,5000000,F,,,
2023-3-28/18:53,2023-3-28/19:11,20000000,1000000,T,T,Spot,
2023-3-30/04:05,2023-3-30/04:35,14000000,1000000,F,,,
2023-3-31/04:27,2023-3-31/04:44,20000000,2000000,F,,,
2023-4-1/02:55,2023-4-1/03:14,20000000,2000000,T,T,Loop,
2023-4-1/03:11,2023-4-1/03:43,7000000,1000000,F,,,
2023-4-1/11:24,2023-4-1/12:15,6000000,600000,F,,,
2023-4-2/20:16,2023-4-2/20:50,7000000,1000000,T,,,
2023-4-2/20:41,2023-4-4/00:00,7000000,1000000,F,,,
2023-4-3/18:19,2023-4-3/18:31,10000000,300000,F,,,
2023-4-3/19:21,2023-4-3/19:33,12000000,400000,F,,,
2023-4-3/20:26,2023-4-3/20:40,20000000,200000,F,,,
2023-4-4/04:05,2023-4-4/05:50,20000000,1000000,T,T,Spot,
2023-4-4/05:43,2023-4-4/06:28,20000000,900000,F,,,
2023-4-4/06:47,2023-4-4/07:25,4000000,1000000,F,,,
2023-4-4/09:28,2023-4-4/10:15,5000000,1000000,F,,,
2023-4-4/10:59,2023-4-4/11:31,20000000,1000000,F,,,
2023-4-4/11:35,2023-4-4/12:10,20000000,1000000,F,,,
2023-4-7/06:40,2023-4-7/06:54,7000000,5000000,F,,,
2023-4-7/11:20,2023-4-7/12:37,7000000,40000,F,,,
2023-4-7/21:36,2023-4-7/22:04,11000000,1000000,F,,,
2023-4-7/21:59,2023-4-7/22:51,20000000,2000000,F,,,
2023-4-8/09:36,2023-4-8/10:42,1000000,800000,F,,,
2023-4-9/01:23,2023-4-9/01:46,3000000,300000,T,T,Loop,
2023-4-10/14:42,2023-4-10/15:15,2000000,100000,T,T,Spot,
2023-4-11/00:42,2023-4-11/01:56,20000000,40000,F,,,
2023-4-11/11:54,2023-4-11/12:19,3000000,200000,T,T,Spot,
2023-4-12/17:08,2023-4-12/17:45,5000000,300000,T,T,Spot,
