Start time,End time,High frequency (Hz),Low frequency (Hz),GOES,Flare,"Notes (corona loop brightening, etc.)",Other notes
2023-2-21/11:26,2023-2-21/11:37,7000000,600000,F,,,
2023-2-21/11:29,2023-2-21/11:37,7000000,600000,F,,,
2023-2-21/12:36,2023-2-21/13:15,20000000,100000,F,,,
2023-2-21/13:00,2023-2-21/13:09,3000000,500000,F,,,
2023-2-21/13:05,2023-2-21/13:10,3000000,1000000,F,,,
2023-2-21/13:20,2023-2-21/13:23,4000000,1000000,F,,,
2023-2-21/14:24,2023-2-21/14:33,3000000,500000,T,T,Loop,
2023-2-21/14:33,2023-2-21/14:39,1000000,500000,F,,,
2023-2-21/18:33,2023-2-21/19:18,20000000,2000000,T,F,,
2023-2-21/20:08,2023-2-21/20:40,20000000,3000000,F,,,
2023-2-21/21:38,2023-2-21/21:50,10000000,7000000,T,T,Loop,
2023-2-22/03:39,2023-2-22/04:30,20000000,2000000,T,F,,
2023-2-22/06:35,2023-2-22/06:50,5000000,500000,T,T,Loop,
2023-2-22/10:25,2023-2-22/10:38,4000000,400000,T,T,Loop,
2023-2-22/11:36,2023-2-22/11:50,5000000,400000,T,T,Spot,
2023-2-22/17:27,2023-2-22/18:00,6000000,200000,T,T,Spot,
2023-2-22/19:44,2023-2-22/20:00,10000000,400000,F,,,
2023-2-23/4:41,2023-2-23/5:08,5000000,400000,T,T,Spot,
2023-2-23/5:47,2023-2-23/5:51,20000000,10000000,F,,,
2023-2-23/6:11,2023-2-23/7:12,20000000,200000,T,T,Loop & Spot,
2023-2-23/7:45,2023-2-23/8:05,10000000,400000,F,,,
2023-2-23/8:08,2023-2-23/8:42,8000000,200000,T,T,Spot,
2023-2-23/12:26,2023-2-23/12:57,10000000,300000,T,T,Spot,
2023-2-23/15:09,2023-2-23/15:51,7000000,300000,T,T,Spot,
2023-2-23/23:33,2023-2-24/00:29,2000000,100000,F,,,
2023-2-24/12:35,2023-2-24/15:57,20000000,50000,F,,,Very obvious on the level 3 graph
2023-2-24/16:03,2023-2-24/17:36,7000000,100000,F,,,
2023-2-25/01:04,2023-2-25/01:27,20000000,500000,F,,,
2023-2-25/02:47,2023-2-25/03:02,10000000,400000,F,,,
2023-2-25/03:10,2023-2-25/03:35,7000000,300000,T,T,Loop,
2023-2-25/03:28,2023-2-25/04:22,20000000,80000,F,,,
2023-2-25/04:19,2023-2-25/04:49,2000000,200000,T,T,Spot,
2023-2-25/06:40,2023-2-25/07:00,2000000,300000,F,,,
2023-2-25/09:05,2023-2-25/09:20,20000000,400000,F,,,
2023-2-25/12:35,2023-2-25/12:48,5000000,400000,T,T,Spot,
2023-2-25/12:45,2023-2-25/13:06,20000000,300000,F,,,
2023-2-25/13:19,2023-2-25/13:41,4000000,400000,T,T,Spot,
2023-2-25/16:48,2023-2-25/17:05,20000000,300000,F,,,
2023-2-26/00:09,2023-2-26/00:29,4000000,400000,F,,,
2023-2-26/01:28,2023-2-26/02:13,20000000,100000,F,,,
2023-2-26/02:13,2023-2-26/02:22,10000000,500000,F,,,
2023-2-26/04:29,2023-2-26/04:36,4000000,600000,F,,,
2023-2-26/08:19,2023-2-26/08:52,5000000,100000,T,F,,
2023-2-26/17:01,2023-2-26/17:21,2000000,200000,F,,,
2023-2-26/17:11,2023-2-26/17:31,4000000,300000,T,T,Spot,
2023-2-26/18:04,2023-2-26/18:15,4000000,300000,F,,,
2023-2-27/02:09,2023-2-27/04:01,400000,50000,F,,,
2023-2-27/03:27,2023-2-27/05:40,20000000,70000,F,,,
2023-2-27/13:01,2023-2-27/14:04,20000000,80000,F,,,
