Start time_stereo,End time_stereo,High frequency (Hz)_stereo,Low frequency (Hz)_stereo,Notes_stereo,Frequency Change_stereo,Duration (seconds)_stereo,Drift Rate (Hz/s)_stereo,Date,Source_stereo,Start time_psp,End time_psp,High frequency (Hz)_psp,Low frequency (Hz)_psp,Notes_psp,Frequency Change_psp,Duration (seconds)_psp,Drift Rate (Hz/s)_psp,Source_psp,Start Time (UTC),End Time (UTC),Start Energy (keV),End Energy (keV),Instrument,Notes,Duration (seconds),Energy Change (keV),Source
2024-01-10 19:00:00,2024-01-11 00:30:00,15000000,24000,Trigger vertical line preceding,14976000,19800.0,756.3636363636364,2024-01-10,STEREO,2024-01-10 20:23:00,2024-01-10 22:40:00,15000000,58000,,14942000,8220.0,1817.7615571776155,PSP,2024-01-10 21:30:00,2024-01-10 23:30:00,50,20, SEP,,7200.0,30,MAVEN
2024-04-03 17:35:00,2024-04-03 19:00:00,5000000,60000,,4940000,5100.0,968.6274509803922,2024-04-03,STEREO,2024-04-03 17:23:00,2024-04-03 19:27:00,20000000,100000,,19900000,7440.0,2674.7311827956987,PSP,2024-04-03 18:20:00,2024-04-03 19:45:00,50,20, SEP, starts while s/c in periapse so hard to identify beginning,5100.0,30,MAVEN
2024-05-01 18:15:00,2024-05-01 18:38:00,15000000,150000,,14850000,1380.0,10760.869565217392,2024-05-01,STEREO,2024-05-01 17:23:00,2024-05-01 19:34:00,20000000,90000,,19910000,7860.0,2533.078880407125,PSP,2024-05-01 18:35:00,2024-05-01 19:40:00,50,20, SEP, dim,3900.0,30,MAVEN
2024-05-01 20:05:00,2024-05-01 20:40:00,15000000,130000,,14870000,2100.0,7080.952380952381,2024-05-01,STEREO,2024-05-01 20:18:00,2024-05-01 22:00:00,10000000,90000,,9910000,6120.0,1619.2810457516339,PSP,2024-05-01 22:10:00,2024-05-01 23:04:00,80,23, SEP,primarily in 1R and 2F with little in the other two,3240.0,57,MAVEN
2024-07-10 21:10:00,2024-07-11 00:30:00,1000000,30000,,970000,12000.0,80.83333333333333,2024-07-10,STEREO,2024-07-10 21:30:00,2024-07-10 22:36:00,1500000,80000,,1420000,3960.0,358.5858585858586,PSP,2024-07-10 21:50:00,2024-07-10 23:30:00,100,26, SEP,,6000.0,74,MAVEN
2024-07-29 01:10:00,2024-07-29 02:46:00,15000000,70000,,14930000,5760.0,2592.0138888888887,2024-07-29,STEREO,2024-07-29 01:17:00,2024-07-29 02:11:00,14000000,70000,,13930000,3240.0,4299.382716049383,PSP,2024-07-29 01:20:00,2024-07-29 02:00:00,50,20, SEP,,2400.0,30,MAVEN
2024-07-29 01:10:00,2024-07-29 02:46:00,15000000,70000,,14930000,5760.0,2592.0138888888887,2024-07-29,STEREO,2024-07-29 01:17:00,2024-07-29 02:11:00,14000000,70000,,13930000,3240.0,4299.382716049383,PSP,2024-07-29 10:20:00,2024-07-29 12:40:00,100,20, SEP,strongest in 2F,8400.0,80,MAVEN
2024-08-05 13:45:00,2024-08-05 21:50:00,10000000,26000,Very obvious,9974000,29100.0,342.7491408934708,2024-08-05,STEREO,2024-08-05 13:40:00,2024-08-05 14:30:00,5000000,40000,,4960000,3000.0,1653.3333333333333,PSP,2024-08-05 14:05:00,2024-08-05 15:15:00,150,20, SEP,mostly isotropic although less strong in 1F initially and strognest in 2R at end; trailing a M4.8 flare,4200.0,130,MAVEN
2024-08-07 13:45:00,2024-08-07 15:20:00,15000000,50000,Trigger vertical line preceding,14950000,5700.0,2622.8070175438597,2024-08-07,STEREO,2024-08-07 13:44:00,2024-08-07 15:00:00,20000000,60000,,19940000,4560.0,4372.80701754386,PSP,2024-08-07 14:45:00,2024-08-07 15:45:00,50,20, SEP,mostly isotropic although less strong in 1F,3600.0,30,MAVEN
2024-09-03 07:50:00,2024-09-03 12:00:00,6000000,30000,,5970000,15000.0,398.0,2024-09-03,STEREO,2024-09-03 07:49:00,2024-09-03 10:00:00,4000000,80000,,3920000,7860.0,498.72773536895676,PSP,2024-09-03 08:35:00,2024-09-03 10:10:00,150,20, SEP,~45 min after a M6.3 flare seen in EUV so may actually be flare,5700.0,130,MAVEN
2024-09-09 00:45:00,2024-09-09 05:35:00,3000000,40000,,2960000,17400.0,170.11494252873564,2024-09-09,STEREO,2024-09-09 00:36:00,2024-09-09 03:00:00,2000000,50000,,1950000,8640.0,225.69444444444446,PSP,2024-09-09 01:45:00,2024-09-09 04:20:00,90,20, SEP,simultaneous to a M1.2 flare seen by EUV,9300.0,70,MAVEN
2024-09-09 14:15:00,2024-09-09 16:20:00,600000,50000,,550000,7500.0,73.33333333333333,2024-09-09,STEREO,2024-09-09 13:19:00,2024-09-09 13:40:00,20000000,200000,,19800000,1260.0,15714.285714285714,PSP,2024-09-09 14:30:00,2024-09-09 16:30:00,150,20, SEP,,7200.0,130,MAVEN
